Вершины треугольника $ ABC $ есть точки $ A ( -6 ; 0 ) $, $ B ( 5 ; -5 ) $ и $ C ( 2 ; -3 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ C ( 2 ; -6 ) $, $ D ( 4 ; 1 ) $ и $ E ( 3 ; -3 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( -4 ; -5 ) $, $ B ( 6 ; 5 ) $ и $ C ( -7 ; -1 ) $. Составьте уравнение высоты $  AD  $.
Даны точки $ C ( -8 ; -2 ) $, $ D ( -1 ; -5 ) $ и $ E ( -7 ; 8 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Даны точки $ A ( 3 ; -7 ) $, $ B ( 8 ; 7 ) $ и $ C ( -5 ; -2 ) $. Напишите уравнение стороны  AC  треугольника $ ABC $.
Даны точки $ C ( 8 ; -1 ) $, $ D ( 3 ; 2 ) $ и $ E ( -4 ; -6 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Вершины треугольника $ ABC $ есть точки $ A ( 8 ; 7 ) $, $ B ( 5 ; 1 ) $ и $ C ( -6 ; -5 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ C ( 3 ; 6 ) $, $ D ( -7 ; -4 ) $ и $ E ( 0 ; -6 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 5 ; 1 ) $, $ B ( 7 ; 0 ) $ и $ C ( -5 ; 4 ) $. Составьте уравнение высоты $  CD  $.
Даны точки $ C ( -6 ; 0 ) $, $ D ( 9 ; -3 ) $ и $ E ( 2 ; 7 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ C ( -2 ; 1 ) $, $ D ( -8 ; -1 ) $ и $ E ( -6 ; 3 ) $. Точка $F$ делит отрезок $  CD  $ пополам. Напишите уравнение прямой $  EF  $.
Даны точки $ A ( -4 ; -3 ) $, $ B ( -8 ; 1 ) $ и $ C ( 5 ; 0 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Вершины треугольника $ ABC $ есть точки $ A ( 8 ; 7 ) $, $ B ( -3 ; 0 ) $ и $ C ( 1 ; -7 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ C ( -4 ; 4 ) $, $ D ( -5 ; -2 ) $ и $ E ( 3 ; -3 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 1 ; -6 ) $, $ B ( -3 ; 6 ) $ и $ C ( -5 ; -1 ) $. Составьте уравнение медианы $  AM  $.
Даны точки $ A ( -7 ; 6 ) $, $ B ( -3 ; 4 ) $ и $ C ( -4 ; 8 ) $. Напишите уравнение стороны  AB  треугольника $ ABC $.
Даны точки $ C ( -8 ; 0 ) $, $ D ( -3 ; -9 ) $ и $ E ( -4 ; -1 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ C ( -5 ; 8 ) $, $ D ( 5 ; 2 ) $ и $ E ( 3 ; 9 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Даны точки $ A ( 5 ; -8 ) $, $ B ( 9 ; -5 ) $ и $ C ( 1 ; 2 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Даны точки $ C ( -3 ; 3 ) $, $ D ( -5 ; 0 ) $ и $ E ( -2 ; -1 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Даны точки $ C ( 9 ; -8 ) $, $ D ( -4 ; -6 ) $ и $ E ( 4 ; -2 ) $. Точка $F$ делит отрезок $  CE  $ пополам. Напишите уравнение прямой $  DF  $.
Вершины треугольника $ ABC $ есть точки $ A ( 3 ; -6 ) $, $ B ( -1 ; -7 ) $ и $ C ( 6 ; 5 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ C ( 5 ; 7 ) $, $ D ( -2 ; 3 ) $ и $ E ( 8 ; 1 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( -1 ; 2 ) $, $ B ( 6 ; -2 ) $ и $ C ( 5 ; 0 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ C ( 9 ; 0 ) $, $ D ( -3 ; -8 ) $ и $ E ( 3 ; 6 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ параллельно вектору $ \overrightarrow{  CE  } $.
Даны точки $ C ( -3 ; -8 ) $, $ D ( -1 ; 3 ) $ и $ E ( -9 ; -4 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ перпендикулярно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( -7 ; 8 ) $, $ B ( -8 ; 5 ) $ и $ C ( -1 ; -3 ) $. Составьте уравнение медианы $  BM  $.
Вершины треугольника $ ABC $ есть точки $ A ( 0 ; 1 ) $, $ B ( -2 ; -8 ) $ и $ C ( 7 ; -9 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ A ( 6 ; 5 ) $, $ B ( 1 ; -9 ) $ и $ C ( 3 ; -4 ) $. Напишите уравнение стороны  AC  треугольника $ ABC $.
Даны точки $ C ( -2 ; 5 ) $, $ D ( -6 ; 2 ) $ и $ E ( 8 ; -3 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Вершины треугольника $ ABC $ есть точки $ A ( 1 ; 9 ) $, $ B ( -7 ; -5 ) $ и $ C ( 3 ; -8 ) $. Составьте уравнение медианы $  BM  $.
Даны точки $ C ( 7 ; -4 ) $, $ D ( 5 ; -9 ) $ и $ E ( 1 ; 3 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ параллельно вектору $ \overrightarrow{  CE  } $.
Даны точки $ C ( -8 ; 2 ) $, $ D ( -9 ; 0 ) $ и $ E ( -3 ; -7 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ перпендикулярно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 3 ; 9 ) $, $ B ( 7 ; 8 ) $ и $ C ( -5 ; 4 ) $. Составьте уравнение высоты $  CD  $.
Даны точки $ C ( -3 ; 2 ) $, $ D ( -1 ; 4 ) $ и $ E ( -9 ; 5 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Даны точки $ A ( 0 ; 4 ) $, $ B ( 2 ; -3 ) $ и $ C ( -8 ; -1 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Даны точки $ C ( -3 ; 0 ) $, $ D ( 5 ; 6 ) $ и $ E ( -2 ; -9 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
