Вершины треугольника $ ABC $ есть точки $ A ( -1 ; -9 ) $, $ B ( -6 ; 7 ) $ и $ C ( -7 ; 1 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ C ( 9 ; -9 ) $, $ D ( 1 ; 5 ) $ и $ E ( -6 ; -2 ) $. Точка $F$ делит отрезок $  CD  $ пополам. Напишите уравнение прямой $  EF  $.
Вершины треугольника $ ABC $ есть точки $ A ( -9 ; 8 ) $, $ B ( 9 ; -1 ) $ и $ C ( 5 ; 2 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ C ( 5 ; -9 ) $, $ D ( 8 ; 9 ) $ и $ E ( -1 ; 1 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Даны точки $ C ( 8 ; -9 ) $, $ D ( -8 ; -4 ) $ и $ E ( 1 ; -3 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ A ( -6 ; -8 ) $, $ B ( -1 ; -9 ) $ и $ C ( -7 ; -4 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Даны точки $ A ( -4 ; 8 ) $, $ B ( 2 ; 0 ) $ и $ C ( -3 ; -1 ) $. Напишите уравнение стороны  AC  треугольника $ ABC $.
Даны точки $ C ( -4 ; -6 ) $, $ D ( 5 ; 0 ) $ и $ E ( 3 ; -7 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ параллельно вектору $ \overrightarrow{  DE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 1 ; -5 ) $, $ B ( -6 ; 9 ) $ и $ C ( -7 ; 6 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ C ( 6 ; -3 ) $, $ D ( -1 ; -4 ) $ и $ E ( 4 ; 2 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Вершины треугольника $ ABC $ есть точки $ A ( 9 ; -9 ) $, $ B ( 4 ; 6 ) $ и $ C ( 3 ; -1 ) $. Составьте уравнение высоты $  AD  $.
Даны точки $ C ( 6 ; -4 ) $, $ D ( 0 ; 2 ) $ и $ E ( -5 ; 5 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ перпендикулярно вектору $ \overrightarrow{  CE  } $.
Даны точки $ C ( -4 ; 8 ) $, $ D ( 6 ; 3 ) $ и $ E ( 1 ; -9 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ перпендикулярно вектору $ \overrightarrow{  CE  } $.
Даны точки $ C ( -9 ; 1 ) $, $ D ( 9 ; -5 ) $ и $ E ( -1 ; -6 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Даны точки $ A ( 0 ; -5 ) $, $ B ( -7 ; -4 ) $ и $ C ( 5 ; 4 ) $. Напишите уравнение стороны  AC  треугольника $ ABC $.
